,val_loss,loss,precision,recall,f1,bce,roc-auc,pr-auc,val_precision,val_recall,val_f1,val_bce,val_roc-auc,val_pr-auc
0,0.3603899849570356,0.3686948035391552,0.21142769764004282,0.6448002487175502,0.3184400429909412,0.3569149027462024,0.6977256787736583,0.23405973093980195,0.20865049260456708,0.6390643274853801,0.31458949065366754,0.35723596923614853,0.6931031239955032,0.22947574365768952
1,0.3588957960355556,0.3592912829621138,0.21332172398781019,0.6474428726877041,0.3209091784647983,0.35527667433128923,0.7024116640714166,0.23845880961301336,0.21106877061967724,0.6435087719298246,0.31787543812348346,0.355666672028671,0.6976835428276902,0.23436272550614956
2,0.35855255004141523,0.35849488197147433,0.21424170859431152,0.6486864604383646,0.3221025819150168,0.3548392021429003,0.7037734116760029,0.23937104217061309,0.21124016101325538,0.6424171539961013,0.3179362506753106,0.355184215681809,0.6991287986400057,0.23571064260238309
3,0.3584383383718987,0.3582654618534555,0.21466748895056018,0.649308254313695,0.3226603839171913,0.3547002611923637,0.7042082651822785,0.2396565593454817,0.21157003591585427,0.6430409356725146,0.31838625615288096,0.3550701475311839,0.6995367159893807,0.23591150225899046
4,0.3583959708566107,0.3581735720401771,0.21449305145264455,0.6489973573760298,0.32242494449271164,0.35460755586539394,0.7043820310375933,0.24017827676590023,0.21186853785565846,0.6438986354775829,0.3188293888266862,0.3549558927275543,0.699784339605027,0.23668709754733855
5,0.3583719145908578,0.3581326270184584,0.21460870458866452,0.6492305300792787,0.3225843824824283,0.3545670025989227,0.7045455387996749,0.24006303933181475,0.21189333470215332,0.6437426900584795,0.3188383409284004,0.35492319142007267,0.6998718188582376,0.23650634480474736
6,0.35835908872664624,0.35810901828186725,0.21461058149394865,0.6491528058448625,0.3225769074792886,0.3545508355212212,0.704469407245734,0.2402472688031656,0.21182544371099069,0.6430409356725146,0.31867537385524947,0.3549062793435785,0.6998875247577887,0.23674010220238367
7,0.35835598871333646,0.3580893638313999,0.21496360690311464,0.6496191512513602,0.32303321931706186,0.35449268777621445,0.704702181221359,0.2403477020781192,0.21204410517387617,0.6432748538011696,0.3189515193690559,0.3548700402894663,0.7000436589034962,0.23675660505547172
8,0.3583447431633061,0.3580807146187395,0.21471714601485595,0.649308254313695,0.3227164738377146,0.3545157890647906,0.7046354643669861,0.24024595045549774,0.21173357992345432,0.642729044834308,0.31853311693330244,0.35488487962146986,0.6999429008106413,0.23676125946247276
9,0.35834175437219523,0.3580716449081463,0.2147925343205306,0.6493859785481113,0.32281122015300207,0.3545187852042518,0.7045897855238223,0.24032689469343174,0.2117217811351782,0.642495126705653,0.31849103277674706,0.3549296637829044,0.6999194079261819,0.2366725126578033
10,0.35833539003788406,0.35806503375359766,0.2146804081317947,0.6492305300792787,0.32266537904394016,0.3544930671634595,0.7047111851511936,0.24034484610877963,0.21186288355372962,0.6433528265107212,0.31875603631446786,0.3548696671023895,0.7000941714449269,0.2367905152217202
11,0.3583445602471941,0.3580606121673473,0.21487157071966678,0.6495414270169438,0.32291968546532973,0.35451196066608653,0.7047612138718922,0.2402592203652501,0.21184633174868303,0.6428070175438596,0.3186702744491689,0.35493961771796223,0.7000135901043755,0.23659339035839777
12,0.35832830878226707,0.3580581845722826,0.21478149100257068,0.6493859785481113,0.3227987482131129,0.3544801349742059,0.704696591452555,0.24039179702265934,0.2119648906683092,0.6439766081871345,0.31894803915889475,0.35485999111283106,0.7000934353217269,0.23675636410078826
13,0.35833637907920035,0.3580545362531135,0.21493596667180992,0.6496191512513602,0.32300200958417064,0.35448384372262515,0.7046872476676316,0.2403839824864865,0.2116990927548896,0.6422612085769981,0.3184366180848185,0.35490524173853455,0.6999311335727075,0.23667276801944587
14,0.3583246686966793,0.3580535761907418,0.21505376344086022,0.6497745997201928,0.3231542327019714,0.35448913883225525,0.7046902916452975,0.24037776787388598,0.2119555452888786,0.6438986354775829,0.3189278955702313,0.3548846844472457,0.7001433119171123,0.2366734436751253
15,0.35832974723005023,0.35805106653731367,0.21467489077358007,0.6492305300792787,0.32265914709517923,0.35449454079277815,0.7046778695403961,0.24038964400701568,0.21202466598150052,0.6434307992202729,0.3189486906947531,0.3548913801420946,0.7001246749413443,0.23682700999331027
16,0.35833671967101466,0.35804882013870415,0.2148458591520325,0.6494637027825276,0.3228810448424429,0.35447764178131475,0.7047048322694537,0.2403996478324222,0.2118556965928362,0.6428849902534113,0.31869045088224496,0.35493422739338365,0.6999071813938823,0.2365994982455624
17,0.3583285991462142,0.3580522012407371,0.21452611566426022,0.6489973573760298,0.32246229894379114,0.3544829000736121,0.704613721669372,0.2404036237162246,0.21167508784528968,0.6435087719298246,0.31856255066198325,0.3548613806970767,0.7000300929489706,0.23691783190594629
18,0.35833143646212556,0.35804772337160823,0.2150169770552526,0.6496968754857765,0.3231030884001391,0.35451643665584737,0.7047062875806807,0.2402140676813416,0.21189772581266864,0.642962962962963,0.31874758407421727,0.35491105670258405,0.7001461696493408,0.23664970019198114
19,0.35832941063477625,0.35804656666143364,0.21450220897975958,0.6490750816104461,0.3224448820417777,0.3545115563094453,0.7046460489351866,0.24020591725589968,0.21166945122734868,0.6421052631578947,0.3183839164894645,0.35491829706735445,0.6999408386817982,0.2365761673687699
