,val_loss,loss,precision,recall,f1,bce,roc-auc,pr-auc,val_precision,val_recall,val_f1,val_bce,val_roc-auc,val_pr-auc
0,0.358638977342215,0.3655926496090955,0.21320498707150354,0.6472874242188714,0.3207579871743024,0.355250018665737,0.7026490082505791,0.23837427235714329,0.21094509543058895,0.6428849902534113,0.3176590703319142,0.35535481919989453,0.6985871957719874,0.23543389022221603
1,0.35824713466213187,0.35823690151762444,0.21477596976941468,0.6493859785481113,0.32279251260455505,0.3546377773798653,0.7041311113870469,0.24022266446779056,0.21152316181188247,0.6426510721247564,0.31828538327862527,0.35500470511337046,0.6994841001749187,0.23675398485995144
2,0.3581308612206026,0.3580247926256014,0.21472266488459363,0.649308254313695,0.32272270725488683,0.3544217924735509,0.7048196702851879,0.24068044650633375,0.21215239369227998,0.6430409356725146,0.3190452241866223,0.3548774350496219,0.7000301036822372,0.23671678204083813
3,0.35814877616853497,0.3578591943969093,0.21517716991328067,0.6499300481890253,0.323312776693023,0.35447189274967883,0.7046350027527906,0.24038398383853213,0.21203394188737465,0.642962962962963,0.3189016726288311,0.3548456868641404,0.7001279700541863,0.23666282714962344
4,0.3583582909187305,0.358015355477871,0.21435541859270674,0.648764184672781,0.3222406671041964,0.35471823229676813,0.7043076701197455,0.24013439689702243,0.21157700015415445,0.6421052631578947,0.31827932054032115,0.3551887319175177,0.6994680901661476,0.2367283645433545
5,0.3581385651535188,0.3580285978169468,0.21475940777297964,0.6493859785481113,0.3227738072242612,0.35444592660386814,0.7046809554424431,0.24046065726323562,0.21175835753012823,0.6425730994152047,0.31854199683042794,0.35480682613497133,0.7000620673501299,0.23717468876249148
6,0.3581027846492629,0.3578480929170733,0.2150426998662414,0.6497745997201928,0.32314174171852655,0.3544366559512145,0.704845613894983,0.24042046214235238,0.2121453741094164,0.6431189083820663,0.3190468822528238,0.35482756305986785,0.7002664072793908,0.23689606413430309
7,0.35819218407348447,0.3579338201209111,0.2150814273585634,0.6497745997201928,0.32318546438581236,0.3545233635007683,0.7043887331405072,0.24026881202542255,0.2120191318658712,0.6428849902534113,0.318875331154642,0.3549057713279198,0.699954206965331,0.2365211959450564
8,0.35815729075424596,0.35803527059247897,0.21515143717351587,0.649852323954609,0.3232741121657935,0.35452776694318744,0.7046211061584878,0.24011807858089396,0.21171518045074184,0.6431189083820663,0.31856014522140474,0.354913402036645,0.7000819064517554,0.2366982684744544
9,0.35809084368259536,0.3578842863625659,0.214737329083993,0.6493859785481113,0.322748870089234,0.3543793742458266,0.7049041438989476,0.240635003444168,0.21217811848841098,0.6431189083820663,0.3190839104027235,0.3548147216417966,0.7001875186644239,0.23692261064056422
10,0.35818081062083174,0.35786783603155065,0.21569183200206132,0.650629566298772,0.3239801842247852,0.35452774121947356,0.7046546550294053,0.24036368278328887,0.2120501790268154,0.6418713450292398,0.3187855787476281,0.3549223236922175,0.700186135861912,0.2367603947523638
11,0.3581841392146508,0.3580265696024675,0.21473370347522105,0.649308254313695,0.32273517481166697,0.3545113983928156,0.7045659238609496,0.23992138819462316,0.211548839719374,0.6418713450292398,0.31821871738374113,0.3549181211468019,0.6998970277236921,0.23645211857772885
12,0.35809292900256684,0.35792806457267834,0.21505376344086022,0.6497745997201928,0.3231542327019714,0.3543961985282018,0.7048786699314211,0.2406646989010375,0.21170812006481649,0.6417933723196881,0.31838929289803497,0.3548383310555015,0.7000785120561976,0.23701456690174422
13,0.35815402441742417,0.35781765067982824,0.21529511699142834,0.650085496657858,0.32346514550903993,0.35438304908647666,0.7048475758668149,0.24101784598951012,0.2122756880615844,0.6428849902534113,0.3191654085859172,0.3548600480053504,0.6999546555264304,0.23691468530484563
14,0.35823023234131857,0.357982442017756,0.21508502045121292,0.649852323954609,0.32319913411546414,0.3545784620210994,0.704658187827514,0.24002624821942314,0.21151673855001027,0.6424171539961013,0.3182494157637561,0.3549903055192484,0.6998945165865306,0.23684476733683757
